ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Bahi, Bahiteba hiwa awematamonaka.",Bahi	Bahi	-tee	-ba	hiwa	awa	-himata	-mona	-ka,Bahi(M)	Bahi(M)	-HAB	-FUT	3SG.REFL.M	feel	-FP.N.M	-REP.M	-DECL.M,Bahi had his first menstruation.,,WORD_ALIGNED
a2,"Bahi hiwa awe hohoma toematamonaka wami ya tobokorisari, noko tama nari waha.",Bahi	hiwa	awe	ho-	homa	to-	ha	-himata	-mona	-ka	wami	ya	to-	bako	-risa	-haari	noko	tama	na	-haari	waha,Bahi(M)	3SG.REFL.M	feel.M	DUP-	lie_on_ground	CH-	AUX	-FP.N.M	-REP.M	-DECL.M	soil(F)	ADJU	CH-	be_concave	-down	-IP.E.M	face.M	hold_onto	AUX	-IP.E.M	now,"Bahi had his first menstruation. He lay on the ground, on his belly, holding his face with his hands.",,WORD_ALIGNED
a3,Bai mera aawa toarematamonaka.,Bahi	mera	a-	awa	to-	ha	-ra	-himata	-mona	-ka,Bahi(M)	3PL.O	DUP-	see	CH-	AUX	-NEG	-FP.N.M	-REP.M	-DECL.M,Bahi didn't look at the others.,,WORD_ALIGNED
a4,"Bahi hine ya totonokowiti toematamonaka mera kakatomarari, meteba mera kanawanahari me fanawi, me fanawiteba kanawanahari.",Bahi	hine	ya	to-	to-	noko	-witi	to-	ha	-himata	-mona	-ka	mera	ka-	katoma	-ra	-haari	me	-tee	-ba	mera	kanawana	-haari	me	fanawi	me	fanawi	-tee	-ba	kanawana	-haari,Bahi(M)	only	ADJU	DUP-	away-	point	-out	CH-	AUX	-FP.N.M	-REP.M	-DECL.M	3PL.O	COMIT-	look_at	-NEG	-IP.E.M	3PL	-HAB	-FUT	3PL.O	teach	-IP.E.M	3PL	women	3PL.O	women	-HAB	-FUT	teach	-IP.E.M,"Bahi was always turned the other way, so he wouldn't look at them. He was teaching the girls.",,WORD_ALIGNED
a5,"Me ha hine, me ha hine yamata wara tokarihi.",me	haa	hi-	ne	me	haa	hi-	ne	yamata	wara	to-	ka-	-rihi,3PL.S	call	OC-	AUX.M	3PL.S	call	OC-	AUX.M	food(F)	grab	CH-	COMIT-	-NEG.LIST,"They called him, but he didn't accept any food.",,WORD_ALIGNED
a6,"Titefeba, otefeba tikawata.",ti-	tefe	-ba	o-	tefe	-ba	ti-	ka-	wata,2SG.POSS-	food	-FUT	1SG.POSS-	food	-FUT	2SG.S-	COMIT-	be_located,"""Leave my food on the ground.""",,WORD_ALIGNED
a7,"Yama owakitihaba awine, Bahi ati nematamonaka.",yama	o-	ka-	iti	-haba	awine	Bahi	ati	na	-himata	-mona	-ka,thing(F)	1SG.S-	COMIT-	pick_up	-FUT.F	seem.F	Bahi(M)	say	AUX	-FP.N.M	-REP.M	-DECL.M,"""I will pick it up later,"" Bahi said.",,WORD_ALIGNED
a8,Yama okobaba awine.,yama	o-	kaba	-haba	awine,thing(F)	1SG.S-	eat	-FUT.F	seem.F,"""I will eat it.""",,WORD_ALIGNED
a9,Wami hiri ni onofari.,wami	hiri	ni	o-	nofa	-ri,tree.sp(F)	catch_fire	AUX.NFIN	1SG.S-	want	-NEG.NOM.F,"""I don't want a torch light.""",,WORD_ALIGNED
a10,"Yama soki ya otafaba owa awine o, Bahi ati nematamonane, aati toematamonaka.",yama	soki	ya	o-	tafa	-haba	owa	awine	o	Bahi	ati	na	-himata	-mona	-ne	a-	ati	to-	ha	-himata	-mona	-ka,thing(F)	be_dark.NOM	ADJU	1SG.S-	eat	-FUT.F	1SG.S	seem.F	1SG.S	Bahi(M)	say	AUX	-FP.N.M	-REP.M	-BKG.M	DUP-	say	CH-	AUX	-FP.N.M	-REP.M	-DECL.M,"""I will eat in the dark,"" Bahi said.",,WORD_ALIGNED
a11,Titefebone titefebone kawiti faro.,ti-	tefe	-bone	ti-	tefe	-bone	ka-	iti	faaro,2SG.POSS-	food	-INT.F	2SG.POSS-	food	-INT.F	COMIT-	sit.NOM.F	that.F,"""Here is your food on the ground.""",,WORD_ALIGNED
a12,Yama tekitihi.,yama	ti-	ka-	iti	-hi,thing(F)	2SG.S-	COMIT-	pick_up	-IMP.F,"""You get it.""",,WORD_ALIGNED
a13,Yama soki ya titafibeya hinakaki aati toemetemoneni.,yama	soki	ya	ti-	tafa	-be	-ya	hinakaki	a-	ati	to-	ha	-hemete	-mone	-ni,thing(F)	be_dark.NOM	ADJU	2SG.S-	eat	-IMMED.F	-now	3POSS.SG.grandmother(F)	DUP-	say	CH-	AUX	-FP.N.F	-REP.F	-BKG.F,"""Eat in the dark,"" his grandmother said.",,WORD_ALIGNED
a14,Faya hinakaki warabo nima hine yama hiri ni ya tafarari yama soki ya tafahari.,faya	hinakaki	warabo	nima	hi-	ne	yama	hiri	ni	ya	tafa	-ra	-haari	yama	soki	ya	tafa	-haari,so	3POSS.SG.grandmother(F)	ear.M	communicate_to	OC-	AUX.M	thing(F)	catch_fire	AUX.NFIN	ADJU	eat	-NEG	-IP.E.M	thing(F)	be_dark.NOM	ADJU	eat	-IP.E.M,"His grandmother spoke to him. He didn't eat in the light of a torch, he ate in the dark.",,WORD_ALIGNED
a15,"Fa, fa fawebona fa ha ne, hinaka fabone hinakaki hekama hikawata nokobi ya.",faha	faha	fawa	-hibona	faha	haa	ne	hinaka	faha	-bone	hinakaki	hi-	ka-	ka	-ma	hi-	ka-	wata	nokobi	ya,water(F)	water(F)	drink	-INT.M	water(F)	call	AUX.M	3SG.POSS	water(F)	-INT.F	3POSS.SG.grandmother(F)	OC-	COMIT-	come	-back.F	OC-	COMIT-	be_located.LIST	door(F)	ADJU,"He called for water to drink, and his grandmother brought some water and set it at the door.",,WORD_ALIGNED
a16,"Bari ka ya fa kakiti ahi, fa fawebana.",bari	ka	ya	faha	ka-	iti	ahi	faha	fawa	-hibana,back	LOC	ADJU	water(F)	COMIT-	pick_up.NOM	then	water(F)	drink	-FUT.M,"He picked up the water behind him, to drink it.",,WORD_ALIGNED
