ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Kimi, kimi, kimi me, kimi, Okatao, okatao ofimini.",kimi	kimi	kimi	me	kimi	okatao	okatao	o-	fimi	-ni,corn(M)	corn(M)	corn(M)	3PL	corn(M)	my_son(M)	my_son(M)	1SG.S-	be_hungry	-BKG.F,"The story of corn. ""My son, I'm hungry.""",WORD_ALIGNED,
a2,"Kimi, kimi okobibeya, bati ati nematamonaka, bati.",kimi	kimi	o-	kaba	-be	-ya	bati	ati	na	-himata	-mona	-ka	bati,corn(M)	corn(M)	1SG.S-	eat	-IMMED.F	-now	3SG.POSS.father(M)	say	AUX	-FP.N.M	-REP.M	-DECL.M	3SG.POSS.father(M),"""I'm going to eat some corn,"" his father said.",WORD_ALIGNED,
a3,"Bati ati ne, Abi kimi kabinima tini?",bati	ati	ne	abi	kimi	kaba	-nima	ti-	-ni,3SG.POSS.father(M)	say	AUX.M	father(M)	corn(M)	eat	-want	2SG.S-	-BKG.F,"""Father, do you want to eat corn?""",WORD_ALIGNED,
a4,"Ee, oka yimawara?",ee	o-	ka	yimawa	-ra,yes	1SG.POSS-	POSS	knife(F)	-NPQ,"""Okay, where is my machete?""",WORD_ALIGNED,
a5,"Kimi, kimi wati kane kimi ti ne kimi ti ne kimi me iso nemetemone ahi.",kimi	kimi	wati	ka-	ne	kimi	tii	ne	kimi	tii	ne	kimi	me	iso	na	-hemete	-mone	ahi,corn(M)	corn(M)	go_after	COMIT-	AUX.M	corn(M)	cut_through	AUX.M	corn(M)	cut_through	AUX.M	corn(M)	3PL.S	carry_off	AUX	-FP.N.F	-REP.F	then,He went after the corn. He cut down the corn stalks. They carried the corn away.,WORD_ALIGNED,
a6,"Kimi me iso na me tafabone mera, me tafabone me boni wati kanematamona ahi, sare ya, sare siri na ya ahi.",kimi	me	iso	na	me	tafa	-habone	mera	me	tafa	-habone	me	boni	wati	ka-	na	-himata	-mona	ahi	sarehe	ya	sarehe	siri	na	ya	ahi,corn(M)	3PL.S	carry_off	AUX.F	3PL.S	eat	-INT.F	3PL.O	3PL.S	eat	-INT.F	3PL.POSS	upper_lip.F	plan_against	COMIT-	AUX	-FP.N.M	-REP.M	then	blowgun_dart(F)	ADJU	blowgun_dart(F)	be_scraped	AUX.F	ADJU	then,"They carried off the corn. So that they could eat, he went after their upper lips with a blowgun dart, which had been sharpened.",WORD_ALIGNED,
a7,"Aya moto, aya moto, me narabi moto, me witi haro haro, ahi.",aya	moto	aya	moto	me	narabi	moto	me	witi	haaro	haaro	ahi,this	pierce.LIST	this	pierce.LIST	3PL.POSS	ear.F	pierce.LIST	3PL.POSS	nose	that_one.F	that_one.F	then,"""First one lip is pierced, then the other lip, then their ears and their noses.""",WORD_ALIGNED,
a8,"Ha moto, ha ya moto, ahi.",haa	moto	haa	ya	moto	ahi,DEM	pierce.LIST	DEM	ADJU	pierce.LIST	then,"""First this side, then the other side.""",WORD_ALIGNED,
a9,"Faya me boni moto ne, Kimi te kabahi.",faya	me	boni	moto	ne	kimi	tee	kaba	-hi,so	3PL.POSS	upper_lip.F	pierce	AUX.M	corn(M)	2PL.S	eat	-IMP.F,"He pierced their lips. ""Eat corn.""",WORD_ALIGNED,
a10,Tera yoko amane.,tera	yoko	ama	-ne,2PL.O	bring_misfortune_on.M	SEC	-BKG.M,"""It brought suffering on you.""",WORD_ALIGNED,
a11,Te kabaho.,tee	kaba	-ho,2PL.S	eat	-IMP.M,"""Eat it.""",WORD_ALIGNED,
a12,"Faya me, kimi me yokehemetemone ahi.",faya	me	kimi	me	yoka	-hemete	-mone	ahi,so	3PL	corn(M)	3PL.S	roast_on_coals	-FP.N.F	-REP.F	then,They roasted the corn on coals.,WORD_ALIGNED,
a13,"Me, oko kimi kabi amosareba ama onihi.",me	o-	ka	kimi	kabi	amosa	-ra	-hiba	ama	o-	-ni	-hi,3PL	1SG.POSS-	POSS	corn(M)	be_eaten.NFIN	be_good	-NEG	-FUT.M	be	1SG.POSS-	-IP.N.F	-DUP,"""It's not going to be good for me to eat corn.""",WORD_ALIGNED,
a14,Kimi me yoka me kimi me yokemetemoneke.,kimi	me	yoka	me	kimi	me	yoka	-hemete	-mone	-ke,corn(M)	3PL.S	roast_on_coals.F	3PL.S	corn(M)	3PL.S	roast_on_coals	-FP.N.F	-REP.F	-DECL.F,They roasted the corn on coals.,WORD_ALIGNED,
a15,Kimi me kabehemetemone.,kimi	me	kaba	-hemete	-mone,corn(M)	3PL.S	eat	-FP.N.F	-REP.F,They ate the corn.,WORD_ALIGNED,
a16,Me tafehemetemoneke ahi.,me	tafa	-hemete	-mone	-ke	ahi,3PL.S	eat	-FP.N.F	-REP.F	-DECL.F	then,They ate.,WORD_ALIGNED,
a17,Me fifimi toa rama ahi.,me	fi-	fimi	to-	ha	rama	ahi,3PL.S	DUP-	be_hungry	CH-	AUX.F	unusual	then,They had been hungry a long time.,WORD_ALIGNED,
a18,"Me tafa me kimi me kaba, me tafehemetemoneke ahi.",me	tafa	me	kimi	me	kaba	me	tafa	-hemete	-mone	-ke	ahi,3PL.S	eat.F	3PL.S	corn(M)	3PL.S	eat.F	3PL.S	eat	-FP.N.F	-REP.F	-DECL.F	then,"They ate, eating the corn.",WORD_ALIGNED,
a19,"Fowa, fowa me wasiwa fowa me bore nawaha ehene fowa kabe, fowa kabe me kabehemetemoneni.",fowa	fowa	me	wasi	-waha	fowa	me	bore	na	-waha	ehene	fowa_kabe	fowa_kabe	me	kaba	-hemete	-mone	-ni,manioc(M)	manioc(M)	3PL.S	find	-change.F	manioc(M)	3PL.S	pull_out	AUX	-change.F	because_of.M	sweet_manioc(M)	sweet_manioc(M)	3PL.S	eat	-FP.N.F	-REP.F	-BKG.F,Then they found manioc. They pulled up the manioc. They ate sweet manioc because of him.,WORD_ALIGNED,
a20,"Faya me fanawi tafehemetemone, witi faori kawaharo.",faya	me	fanawi	tafa	-hemete	-mone	witi	fao	-ri	ka-	-waha	-haaro,so	3PL.S	women(F)	eat	-FP.N.F	-REP.F	nose	hurt	-DISTR	COMIT-	-change	-IP.E.F,The women ate. Their noses hurt.,WORD_ALIGNED,
