ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Iti bote, iti bote fimi, fimi kawine, faya bite, mate mate ohi nemetemoneke.",iti	bote	iti	bote	fimi	fimi	ka-	wine	faya	bite	matehe	matehe	ohi	na	-hemete	-mone	-ke,grandfather(M)	old	grandfather(M)	old	be_hungry.M	hunger(F)	COMIT-	lie_in_hammock.M	so	3SG.POSS.daughter(F)	children(F)	children(F)	cry	AUX	-FP.N.F	-REP.F	-DECL.F,The old man was hungry lying in his hammock. The children were crying.,,WORD_ALIGNED
a2,Inamate e nemata awaka.,inamate	ee	na	-himata	awa	-ka,child(M)	be_similar	AUX	-FP.N.M	seem.M	-DECL.M,The boy was this big.,,WORD_ALIGNED
a3,"Me me me me anoti, nisori me fama, me ka ayo ohari, me terei, toha me, Abi, abi, abi okatao me naone faro.",me	me	me	me	anoti	nisori	me	fama	me	ka	ayo	ohari	me	terei	to-	ha	me	abi	abi	abi	okatao	me	naho	-ne	faaro,3PL	3PL	3PL	3PL	3SG.POSS_older_brother(M)	3SG.POSS.younger_brother(M)	3PL.S	be_two.F	3PL	POSS	older_brother(M)	be_one.M	3PL.S	be_three	CH-	AUX.F	3PL.S	father(M)	father(M)	father(M)	my_son(M)	3PL.S	stand	-CONT.F	that.F,"He had two two younger brothers and they had one older brother. There were three of them. ""Father, my sons are there.""",,WORD_ALIGNED
a4,"Okatao me ka, iyawa tisiriya.",okatao	me	ka	iyawa	ti-	sira	-yahi,my_son(M)	3PL	POSS	grated_mash(F)	2SG.S-	toast	-DIST.IMP.F,"""You toast some manioc mash for my sons.""",,WORD_ALIGNED
a5,Iyawa kawitine haro.,iyawa	ka-	ita	-ne	haaro,grated_mash(F)	COMIT-	sit	-CONT.F	that_one.F,"""There is manioc mash there in the pot.""",,WORD_ALIGNED
a6,Iyawa tisiriya.,iyawa	ti-	sira	-yahi,grated_mash(F)	2SG.S-	toast	-DIST.IMP.F,"""Toast some manioc mash.""",,WORD_ALIGNED
a7,"Okatao me ka iyawaba, tisiriya iyawa.",okatao	me	ka	iyawa	-ba	ti-	sira	-yahi	iyawa,my_son(M)	3PL	POSS	grated_mash(F)	-FUT	2SG.S-	toast	-DIST.IMP.F	grated_mash(F),"""Toast some manioc mash for my sons.""",,WORD_ALIGNED
a8,Me tinakabiyahi.,me	ti-	na-	kaba	-yahi,3PL.O	2SG.S-	CAUS-	eat	-DIST.IMP.F,"""Feed them.""",,WORD_ALIGNED
a9,"Oka, yifari onakamamatibeya okatao me tafebonehe.",o-	ka	yifari	o-	na	ka	-ma	-mata	-be	-ya	okatao	me	tafe	-bone	-he,1SG.POSS-	POSS	banana(F)	1SG.S-	AUX	go	-back	-short_time	-IMMED.F	-now	my_son(M)	3PL.POSS	food.F	-INT.F	-DUP,"""I'm going to go get my bananas, to be food for my sons.""",,WORD_ALIGNED
a10,Me maki famemetemoneke.,me	maki	fama	-hemete	-mone	-ke,3PL	3SG.POSS.husband(M)	be_with	-FP.N.F	-REP.F	-DECL.F,She went with her husband.,,WORD_ALIGNED
a11,"Maki fama, kokori, kokori yama yete nebona toka yama kabani ya.",maki	fama	kokori	kokori	yama	yete	na	-hibona	to-	ka	yama_kabani	ya,3SG.POSS.husband(M)	be_two.F	3SG.POSS.father-in-law(M)	3SG.POSS.father-in-law(M)	thing(F)	hunt	AUX	-INT.M	away-	go.LIST	forest(F)	ADJU,She went with her husband. Her father-in-law also went out hunting in the forest.,Siko should have said her older brother went out hunting.,WORD_ALIGNED
a12,"Faya, Ati te kamakabote niya.",faya	ati	tee	ka	-ma	-kabote	na	-yahi,so	older_sister(F)	2PL.S	come	-back	-quickly	AUX	-DIST.IMP.F,"""Older sister, you come back quickly.""",Siko should have said younger sister.,WORD_ALIGNED
a13,Yama yete omatibe.,yama	yete	o-	-mata	-be,thing(F)	hunt	1SG.S-	-short_time	-IMMED.F,"""I'm going hunting.""",,WORD_ALIGNED
a14,Bani me fora obe.,bani	me	fora	o-	-be,animal(M)	3PL.O	shoot_with_blowgun	1SG.S-	-IMMED.F,"""I'm going to shoot animals with my blowgun.""",,WORD_ALIGNED
a15,Ayo kamakabote tiyahi.,ayo	ka	-ma	-kabote	ti-	-yahi,older_brother(M)	come	-back	-quickly	2SG.S-	-DIST.IMP.F,"""Older brother, come back quickly.""",,WORD_ALIGNED
a16,"Kami kerewe obisarabana oke, bani okaraboi ya, ati ne me, tokomemetemoneke ahi fatara ya.",ka	-mi	kerewe	o-	-bisa	-ra	-habana	o-	ke	bani	o-	karabohi	ya	ati	ne	me	to-	ka	-ma	-hemete	-mone	-ke	ahi	fatara	ya,come	-back.NFIN	be_slow	1SG.S-	-also	-NEG	-FUT.F	1SG.S-	DECL.F	animal(M)	1SG.S-	shoot_with_blowgun.NOM.F	ADJU	say	AUX.M	3PL.S	away-	go	-back	-FP.N.F	-REP.F	-DECL.F	there	garden(F)	ADJU,"""I will not be long in coming back, if I kill an animal with my blowgun,"" he said. They went to the garden.",,WORD_ALIGNED
