ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGRConformance
a1,"Kose mati, kose mati inamati, inamati yetene, inamati yetene yetene afo nari, me afo hinahari.",kose_mati	kose_mati	inamati	inamati	yetene	inamati	yetene	yetene	afo	na	-haari	me	afo	hi-	na	-haari,name_of_monster(M)	name_of_monster(M)	someone(M)	someone(M)	teenage_boy	someone(M)	teenage_boy	teenage_boy	be_blown_into	AUX	-IP.E.M	3PL.S	blow_snuff_into	OC-	AUX	-IP.E.M,The kose mati monster. The teenager was trained as a shaman. They trained him as a shaman.,,WORD_ALIGNED
a2,"Me afo hine, me aafo hie me, me sa hikase, wawama toahi, yama yama yete nematamona.",me	afo	hi-	ne	me	a-	afo	hi-	he	me	me	saa	hi-	ka-	-kose	wa-	waa	-ma	to-	hahi	yama	yama	yete	na	-himata	-mona,3PL.S	blow_snuff_into	OC-	AUX.M	3PL.S	DUP-	blow_snuff_into	OC-	AUX.M	3PL	3PL.S	release	OC-	COMIT-	-middle.M	DUP-	stand	-back	CH-	AUX.M	thing(F)	thing(F)	hunt	AUX	-FP.N.M	-REP.M,"They trained him as a shaman. They trained him over a period of time, and then they were done with him. He was walking around normally again. He went hunting.",,WORD_ALIGNED
a3,Abi abi yama yete obana?,abi	abi	yama	yete	o-	-bana,father(M)	father(M)	thing(F)	hunt	1SG.S-	-FUT,"""Father, should I go hunting?""",,WORD_ALIGNED
a4,Yama yama yete tinahi.,yama	yama	yete	ti-	na	-hi,thing(F)	thing(F)	hunt	2SG.S-	AUX	-IMP.F,"""Go hunting.""",,WORD_ALIGNED
a5,Yama yete tinahi.,yama	yete	ti-	na	-hi,thing(F)	hunt	2SG.S-	AUX	-IMP.F,"""Go hunting.""",,WORD_ALIGNED
a6,Tika.,ti-	ka,2SG.S-	go,"""Go.""",,WORD_ALIGNED
a7,"Bati hiyose, tokehimatamonaka.",bati	hi-	yose	to-	ka	-himata	-mona	-ka,3SG.POSS.father(M)	OC-	command	away-	go	-FP.N.M	-REP.M	-DECL.M,"His father ordered him, and he went.",,WORD_ALIGNED
a8,"Me aafo hiahi wawamisama toe, toke, karaboa tiwa kane, karaboa mase hi nematamona, hho hho hohooo ho.",me	a-	afo	hi-	hahi	wa-	waa	-misa	-ma	to-	he	to-	ke	karaboha	tiwa	ka-	ne	karaboha	mase	hii	na	-himata	-mona,3PL.S	DUP-	blow_snuff_into	OC-	AUX.M	DUP-	stand	-up	-back	CH-	AUX.M	away-	go.M	blowgun(F)	carry	COMIT-	AUX.M	blowgun(F)	curassow(M)	call	AUX	-FP.N.M	-REP.M,"They had trained him as a shaman, and he had returned to normal. He went out into the forest, carrying a blowgun on his shoulder. A curassow was calling. ""Hho hho hohooo ho.""",,WORD_ALIGNED
a9,Mase okaraboamatibe.,mase	o-	karaboha	-mata	-be,curassow(M)	1SG.S-	shoot_with_blowgun	-short_time	-IMMED.F,"""I'm going to shoot the curassow with a dart.""",,WORD_ALIGNED
a10,Mase okaraboamatibe.,mase	o-	karaboha	-mata	-be,curassow(M)	1SG.S-	shoot_with_blowgun	-short_time	-IMMED.F,"""I'm going to shoot the curassow.""",,WORD_ALIGNED
a11,Eti hawa tini?,Eti	hawa	ti-	ha	-ni,Edi(M)	be_finished	2SG.S-	AUX	-BKG.F,"Edi, are you finished?",,WORD_ALIGNED
a12,"Mase karaboebona toke, wasina waha wasina waimetemone amake.",mase	karaboha	-hibona	to-	ke	wasina	waaha	wasina	wai	-mete	-mone	ama	-ke,curassow(M)	shoot_with_blowgun	-INT.M	away-	go.M	kapok(F)	stand.F	kapok(F)	stand.NOM	-FP.N.F	-REP.F	be	-DECL.F,He went on to shoot the curassow. There was a kapok tree.,,WORD_ALIGNED
a13,"Wasina waha, habi ya, kose mati waiyematamonaka ahi mase, mase hi ni tohahari, tonokomisari ahi, tonokomisari hi nari, hho hho hohooo o.",wasina	waaha	habi	ya	kose_mati	wahiya	-himata	-mona	-ka	ahi	mase	mase	hii	ni	to-	ha	-haari	to-	noko	-misa	-haari	ahi	to-	noko	-misa	-haari	hii	na	-haari,kapok(F)	stand.F	root.F	ADJU	name_of_monster(M)	hide	-FP.N.M	-REP.M	-DECL.M	then	curassow(M)	curassow(M)	call	AUX.NFIN	CH-	be	-IP.E.M	away-	point	-up	-IP.E.M	then	away-	point	-up	-IP.E.M	call	AUX	-IP.E.M,"There was a kose mati monster hiding in the buttress roots of the kapok tree, making the sound of a curassow calling. It was looking up. ""Hho hho hohooo o.""",,WORD_ALIGNED
a14,Kakehimatamonaka.,ka	-ke	-himata	-mona	-ka,come	-coming	-FP.N.M	-REP.M	-DECL.M,He was coming.,,WORD_ALIGNED
a15,"Karaboa karaboa tama ni kake, Mase hi nareka ahi.",karaboha	karaboha	tama	na.NFIN	ka	-ke	mase	hii	na	-hare	-ka	ahi,blowgun(F)	blowgun(F)	hold_onto	AUX	come	-coming	curassow(M)	call	AUX	-IP.E.M	-DECL.M	there,"He came with the blowgun in his hand. ""The curassow called there.""",,WORD_ALIGNED
