ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Haha hahabisa one, nabati nabati weye naro.",haaha	haaha	-bisa	one	nabati	nabati	weye	na	-haaro,this.F	this.F	-also	other.F	stomach	stomach	carry	AUX	-IP.E.F,"It was a different woman, she was pregnant.",,WORD_ALIGNED
a2,"Nabati weye na manakobisa, maki maki hima nemetemoneke.",nabati	weye	na	manakobisa	maki	maki	hima	na	-hemete	-mone	-ke,stomach	carry	AUX.F	then	3SG.POSS.husband(M)	3SG.POSS.husband(M)	call_to_go	AUX	-FP.N.F	-REP.F	-DECL.F,She was pregnant. She called her husband to go with her.,,WORD_ALIGNED
a3,"Maki hima Hibare mata iha to okomatibe, hibare mata.",maki	hima	hibare	mata	iha	too	o-	ka-	-mata	-be	hibare	mata,3SG.POSS.husband(M)	call_to_go	wait	for_now	plant.sp(M)	pulverize	1SG.S-	COMIT-	-short_time	-IMMED.F	wait	for_now,"""Wait a little while, I'm going to pulverize the iha poison.""",,WORD_ALIGNED
a4,Iha to okomatibe mata.,iha	too	o-	ka-	-mata	-be	mata,plant.sp(M)	pulverize	1SG.S-	COMIT-	-short_time	-IMMED.F	for_now,"""I'm going to pulverize the iha poison now.""",,WORD_ALIGNED
a5,Wati ino were okani ya e towakaba ereke.,wati	ino	were	o-	ka-	ni	ya	ee	to-	ka-	ka	-haba	ere	-ke,arrow(M)	point.M	coat	1SG.S-	COMIT-	AUX.NOM.F	ADJU	1IN.S	away-	COMIT-	go	-FUT.F	1IN.S	-DECL.F,"""When I have spread the poison on the arrow points, we will go out.""",,WORD_ALIGNED
a6,"Bai, bai yaboka.",bahi	bahi	yabo	-ka,sun(M)	sun(M)	be_far	-DECL.M,"""It's early in the day.""",,WORD_ALIGNED
a7,"Iha to kane, iha to kane iha kawari iha wiro kane, iha wiro kanematamonaka.",iha	too	ka-	ne	iha	too	ka-	ne	iha	ka-	waa	-ri	iha	wiro	ka-	ne	iha	wiro	ka-	na	-himata	-mona	-ka,plant.sp(M)	pulverize	COMIT-	AUX.M	plant.sp(M)	pulverize	COMIT-	AUX.M	plant.sp(M)	COMIT-	cook	-raised_surface.M	plant.sp(M)	boil	COMIT-	AUX.M	plant.sp(M)	boil	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M,"He pulverized the poison, and cooked the poison. The poison boiled.",,WORD_ALIGNED
a8,"Iha wiro kane iha yama kanihe, ia yama kanihematamonaka.",iha	wiro	ka-	ne	iha	yama	ka-	nihe	iha	yama	ka-	niha-	-himata	-mona	-ka,plant.sp(M)	boil	COMIT-	AUX.M	plant.sp(M)	remove_from_fire	COMIT-	CAUS.M	plant.sp(M)	remove_from_fire	COMIT-	CAUS-	-FP.N.M	-REP.M	-DECL.M,The poison boiled. He took the poison off the fire.,,WORD_ALIGNED
a9,"Ia yama kanihe, iha, tokayowabona ka, yiwa iisi kabote na kawari, ia nakosiribonaha.",iha	yama	ka-	nihe	iha	to-	ka-	yowa	-bona	ka	yiwaha	i-	isi	kabote	na	ka-	waa	-ri	iha	nakosiri	-bona	-ha,plant.sp(M)	remove_from_fire	COMIT-	CAUS.M	plant.sp(M)	away-	COMIT-	burn.NOM.M	-INT.M	so_that	pot(F)	DUP-	be_small	quickly	AUX.F	COMIT-	cook	-raised_surface.M	plant.sp(M)	ashes	-INT.M	-DUP,"He took the poison off the fire. He also cooked another small pot using the same powder, so he could spread it on the arrows a second time.",,WORD_ALIGNED
a10,Nakosiribona werewere hinematamona fahi.,nakosiri	-bona	were-	were	hi-	na	-himata	-mona	fahi,ashes	-INT.M	DUP-	stir	OC-	AUX	-FP.N.M	-REP.M	then,He stirred the poison that was to be spread the second time.,,WORD_ALIGNED
