ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,Siraba okominamatibeya inamati hekamemetemonehe.,Siraba	o-	kamina	-mata	-be	-ya	inamati	hi-	ka-	ka	-ma	-hemete	-mone	-he,Siraba(F)	1SG.S-	tell	-short_time	-IMMED.F	-now	spirit(M)	OC-	COMIT-	go	-back	-FP.N.F	-REP.F	-DUP,"I will tell about Siraba, who a spirit took away.",,WORD_ALIGNED
a2,"Siro me tonaka me towaka me, yama mati forineke faro.",siro	me	to-	na-	ka	me	to-	ka-	ka	me	yama	mati	forI	-ne	-ke	faaro,tree.sp(F)	3PL.S	away-	CAUS-	go.F	3PL.S	away-	COMIT-	go.F	3PL.S	thing(F)	line.F	lie on top	-CONT.F	-DECL.F	that.F,They went after siro fruits. The two of them went. There is a wire there on top.,,WORD_ALIGNED
a3,"Siro me tonaka me, siro me tonaka me towaka me, ni ya inamati tokomakematamonaka.",siro	me	to-	na-	ka	me	siro	me	to-	na-	ka	me	to-	ka-	ka	me	ni	ya	inamati	to-	ka	-make	-himata	-mona	-ka,tree.sp(F)	3PL.S	away-	CAUS-	go.F	3PL.S	tree.sp(F)	3PL.S	away-	CAUS-	go.F	3PL.S	away-	COMIT-	go.F	3PL	to	ADJU	spirit(M)	away-	go	-following	-FP.N.M	-REP.M	-DECL.M,They went after siro fruits. They went. A spirit went to them.,,WORD_ALIGNED
a4,"Inamati tokomake, inamati tokomake, siro me yaba me yoro na me, siro me yaba me yoro na me ni ya tofotomakimatamonane siro me ta toniharewama me yoro na me ni ya.",inamati	to-	ka	-make	inamati	to-	ka	-make	siro	me	yaba	me	yoro	na	me	siro	me	yaba	me	yoro	na	me	ni	ya	to-	foto	-maki	-himata	-mona	-ne	siro	me	taa	to-	niha-	-re	-waha	-ma	me	yoro	na	me	ni	ya,spirit(M)	away-	go	-following	spirit(M)	away-	go	-following	tree.sp(F)	3PL.S	pick_up.F	3PL.S	stand	AUX.F	3PL.S	tree.sp(F)	3PL.S	pick_up.F	3PL.S	stand	AUX.F	3PL	to	ADJU	away-	appear	-following	-FP.N.M	-REP.M	-BKG.M	tree.sp(F)	3PL.S	be_piled_up	CH-	CAUS-	-raised_surface	-change	-back.F	3PL.S	stand	AUX.F	3PL	to	ADJU,"The spirit went there. He appeared where they were as they were picking up siro fruits, as they were piling the siro fruits up.",,WORD_ALIGNED
a5,Okoyo kamaki ati nemetemoneni.,okoyo	ka	-maki	ati	na	-hemete	-mone	-ni,my_older_brother(M)	come	-following.M	say	AUX	-FP.N.F	-REP.F	-BKG.F,"""My older brother has come,"" she said.",,WORD_ALIGNED
a6,Ki kabote nemetemoneke.,kii	kabote	na	-hemete	-mone	-ke,look_at	quickly	AUX	-FP.N.F	-REP.F	-DECL.F,She looked quickly.,,WORD_ALIGNED
a7,Fara siro hatira; ati ne.,fara	siro	hati	-ra	ati	ne,same.F	tree.sp(F)	ripe	-NPQ	say	AUX.M,"""Are there ripe siro fruits?"" he said.",,WORD_ALIGNED
a8,Siro hataharani.,siro	hata	-hara	-ni,tree.sp(F)	be ripe	-IP.E.F	-BKG.F,"""The siro fruits are ripe.""",,WORD_ALIGNED
a9,Siro so tosine faro ati nemetemonehe.,siro	soo	to-	-kosa	-ne	faaro	ati	na	-hemete	-mone	-he,tree.sp(F)	stand	CH-	-middle	-CONT.F	that.F	say	AUX	-FP.N.F	-REP.F	-DUP,"""The siro fruits are there in a pile,"" she said.",,WORD_ALIGNED
a10,"Faya Siro, siro siro hati tiwahi ati nemetemoneke.",faya	siro	siro	siro	hati	ti-	awa	-hi	ati	na	-hemete	-mone	-ke,so	tree.sp(F)	tree.sp(F)	tree.sp(F)	ripe	2SG.S-	see	-IMP.F	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""Look at the siro fruits,"" she said.",,WORD_ALIGNED
a11,"Siro hati, itikime siro hawi ne wematamonaha.",siro	hati	iti	-kime	siro	hawi	ne	waa	-himata	-mona	-ha,tree.sp(F)	ripe	pick_up-two.M	tree.sp(F)	gnaw	AUX.M	stand	-FP.N.M	-REP.M	-DUP,He  picked up two of the siro fruits. He stood there gnawing on the siro fruits.,,WORD_ALIGNED
a12,"We, Ayo ibaka ya tikaribeya; ati nemetemoneke.",wee	ayo	ibaka	ya	ti-	ka	-ri	-be	-ya	ati	na	-hemete	-mone	-ke,stand.M	older_brother(M)	where	ADJU	2SG.S-	go	-CQ.F	-IMMED.F	-now	say	AUX	-FP.N.F	-REP.F	-DECL.F,"He stood there. ""Brother, where are you going?"" she said.",,WORD_ALIGNED
a13,Okiba ahi Boto Komaha ya.,o-	ka	-baha	ahi	Boto_Komaha	ya,1SG.S-	go	-before.F	there	Boto_Komaha(F)	ADJU,"""I'm going to Boto Komaha.""",,WORD_ALIGNED
a14,Siro noki koro towiti awa kinarimatamonane.,siro	noki	koro	to-	-witi	awa	kina	-ri	-himata	-mona	-ne,tree.sp(F)	seed.F	throw	away-	-out.M	tree(F)	hit	-raised_surface	-FP.N.M	-REP.M	-BKG.M,He threw a siro seed and hit a tree.,,WORD_ALIGNED
a15,Boto Komaha ya okabone oni ati nematamona.,Boto_Komaha	ya	o-	ka	-habone	o-	ni	ati	na	-himata	-mona,Boto_Komaha(F)	ADJU	1SG.S-	go	-INT.F	1SG.S-	BKG.F	say	AUX	-FP.N.M	-REP.M,"""I'm going to Boto Komaha,"" he said.",,WORD_ALIGNED
a16,Inamati amane ati nemetemoneke one.,inamati	ama	-ne	ati	na	-hemete	-mone	-ke	one,spirit(M)	SEC	-BKG.M	say	AUX	-FP.N.F	-REP.F	-DECL.F	other.F,"""It's a spirit,"" the other one said.",,WORD_ALIGNED
a17,Ayo amare ayo tinihine tini ati nemetemonehe.,ayo	ama	-re	ayo	ti-	niha-	-ne	ti-	ni	ati	na	-hemete	-mone	-he,2SG.POSS.older brother(M)	be	-NEG.M	2SG.POSS.older brother(M)	2SG.S-	CAUS-	-CONT.F	2SG.S-	BKG.F	say	AUX	-FP.N.F	-REP.F	-DUP,"""You are calling him your brother, but he is not your brother,"" she said.",,WORD_ALIGNED
a18,Me hiwemata awaka.,me	hi-	awa	-himata	awa	-ka,3PL.S	OC-	see	-FP.N.M	seem.M	-DECL.M,They recognized him.,,WORD_ALIGNED
a19,Me hiwemata awane.,me	hi-	awa	-himata	awa	-ne,3PL.S	OC-	see	-FP.N.M	seem.M	-BKG.M,They recognized him.,,WORD_ALIGNED
a20,Ayo wawa timatahi.,ayo	wa-	waa	ti-	-mata	-hi,older_brother(M)	DUP-	stand	2SG.S-	-short_time	-IMP.F,"""Brother, you stay here.""",,WORD_ALIGNED
a21,Siro wiyeba ota tonakamatibeya ati nemetemonehe.,siro	wiye	-ba	otaa	to-	na-	ka	-mata	-be	-ya	ati	na	-hemete	-mone	-he,tree.sp(F)	container.F	-FUT	1EX.S	away-	CAUS-	go	-short_time	-IMMED.F	-now	say	AUX	-FP.N.F	-REP.F	-DUP,"""We are going to go get baskets for the siro fruits.""",,WORD_ALIGNED
a22,Faya me fanawi towaka mera kakatome mera towamakemata awaka.,faya	me	fanawi	to-	ka-	ka	mera	ka-	katome	mera	to-	awa	-make	-himata	awa	-ka,so	3PL.S	women	away-	COMIT-	go.F	3PL.O	COMIT-	look_at.M	3PL.O	away-	see	-following	-FP.N.M	seem.M	-DECL.M,"The women went. He watched them, and he went after them to see them.",,WORD_ALIGNED
a23,"Me ebe, mera kakatomemoneke.",me	ebe	mera	ka-	katoma	-hamone	-ke,3PL.POSS	RECIP	3PL.O	COMIT-	look_at	-REP.F	-DECL.F,He watched them.,,WORD_ALIGNED
a24,"Yama me waso me ti kasikima waso me kanasona me, me yoro ra yama me ti kasaremetemoneke.",yama	me	waso	me	tii	ka-	-kosa	-kima	waso	me	ka-	na-	sona	me	me	yoro	ra	yama	me	tii	ka-	-kosa	-ra	-hemete	-mone	-ke,thing(F)	3PL	leaf(F)	3PL.S	cut_through	COMIT-	-middle	-two.F	leaf(F)	3PL.S	COMIT-	CAUS-	fall.F	3PL.S	3PL.S	stay	NEG.F	thing(F)	3PL.S	cut_through	COMIT-	-middle	-NEG	-FP.N.F	-REP.F	-DECL.F,"They cut off two palm leaves, and they fell on the ground. They didn't stay there. They didn't keep on cutting off leaves.",,WORD_ALIGNED
a25,Me kana ni towakamemetemoneke ha ya me tokafotowamabani mati.,me	kana	ni	to-	ka-	ka	-ma	-hemete	-mone	-ke	haa	ya	me	to-	ka-	foto	-waha	-ma	-haba	-ni	mati,3PL.S	run	AUX.NFIN	away-	COMIT-	go	-back	-FP.N.F	-REP.F	-DECL.F	DEM	ADJU	3PL.S	away-	COMIT-	appear	-change	-back	-FUT.F	-IP.N.F	3PL.S,They went running away. They came out on the other side.,,WORD_ALIGNED
a26,"Me tokafotowama me kana ni towakamemetemoneni, fare bati itamakino ya isiri kowahari.",me	to-	ka-	foto	-waha	-ma	me	kana	ni	to-	ka-	ka	-ma	-hemete	-mone	-ni	fare	bati	ita	-maki	-no	ya	isiri	kowa	-haari,3PL.S	away-	COMIT-	appear	-change	-back.F	3PL.S	run	AUX.NFIN	away-	COMIT-	go	-back	-FP.N.F	-REP.F	-BKG.F	same.M	3SG.POSS.father(M)	sit	-following.NOM	-IP.N.M	ADJU	basket(F)	weave	-IP.E.M,"They came out, and went running to where her father was sitting, weaving a basket.",,WORD_ALIGNED
a27,Isiri kowe ite ni ya bite kana ni tofotomemetemoneni.,isiri	kowe	ite	ni	ya	bite	kana	ni	to-	foto	-ma	-hemete	-mone	-ni,basket(F)	weave.M	sit.M	to	ADJU	3SG.POSS.daughter(F)	run	AUX.NFIN	away-	appear	-back	-FP.N.F	-REP.F	-BKG.F,"As he sat there weaving the basket, his daughter appeared, running.",,WORD_ALIGNED
a28,Abi afa ama tini; ati nemetemonehe.,abi	afa	ama	ti-	ni	ati	na	-hemete	-mone	-he,father(M)	this.F	be	2SG.S-	BKG.F	say	AUX	-FP.N.F	-REP.F	-DUP,"""Father, is it you?"" she said.",,WORD_ALIGNED
a29,Afa ama okene ati ne Abi inamati otara kiyo kamaki ahi ati nemetemoneni.,afa	ama	o-	ke	-ne	ati	ne	abi	inamati	otara	kiyo	ka	-maki	ahi	ati	na	-hemete	-mone	-ni,this.F	be	1SG.S-	DECL.F	-IRR.F	say	AUX.M	father(M)	spirit(M)	1EX.O	chase.M	come	-following.NOM	there	say	AUX	-FP.N.F	-REP.F	-BKG.F,"""It is me,"" he said. ""Father, there is a spirit chasing us, and he is coming this way,"" she said.",,WORD_ALIGNED
a30,Inamati toe awane ati nematamona.,inamati	to-	he	awa	-ne	ati	na	-himata	-mona,spirit(M)	CH-	be.M	seem.M	-BKG.M	say	AUX	-FP.N.M	-REP.M,"""I guess it is a spirit,"" he said.",,WORD_ALIGNED
a31,Inamati fotomaki kerewe nematamonaha.,inamati	foto	-maki	kerewe	na	-himata	-mona	-ha,spirit(M)	appear	-following.NFIN	be_slow	AUX	-FP.N.M	-REP.M	-DUP,The spirit didn't take long to appear.,,WORD_ALIGNED
a32,Inamati fotomaki kerewe rematamonaka.,inamati	foto	-maki	kerewe	ra	-himata	-mona	-ka,spirit(M)	appear	-following.NFIN	be_slow	NEG	-FP.N.M	-REP.M	-DECL.M,The spirit didn't take long to appear.,,WORD_ALIGNED
a33,"Kana ni kamakimatamona ahi, fe bata torebanoho.",kana	ni	ka	-maki	-himata	-mona	ahi	fee	bata	to-	-re	-hiba	-no	-ho,run	AUX.NFIN	come	-following	-FP.N.M	-REP.M	then	3SG.O	surprise	CH-	-raised_surface	-FUT.M	-IP.N.M	-DUP,"He came running, and he surprised him.",,WORD_ALIGNED
a34,Himata ebe tina tikamakine tiriya; ati nematamona Siraba bati.,himata	ebe	ti-	na	ti-	ka	-maki	-ne	ti-	ri	-ya	ati	na	-himata	-mona	Siraba	bati,what?	purpose	2SG.S-	say.F	2SG.S-	come	-following	-CONT.F	2SG.S-	CQ.F	-now	say	AUX	-FP.N.M	-REP.M	Siraba(F)	3SG.POSS.father(M),"""What are you doing coming here?"" he said, Siraba's father.",,WORD_ALIGNED
a35,Me okiyorini ati nematamonane.,me	o-	kiyo	-ra	-ni	ati	na	-himata	-mona	-ne,3PL.O	1SG.S-	chase	-NEG	-BKG.F	say	AUX	-FP.N.M	-REP.M	-BKG.M,"""I'm not chasing them,"" he said.",,WORD_ALIGNED
a36,Okoto tikiyoani tikamakine tini.,okoto	ti-	kiyo	-hani	ti-	ka	-maki	-ne	ti-	ni,my_daughter(F)	2SG.S-	chase	-IP.N.F	2SG.S-	come	-following	-CONT.F	2SG.S-	BKG.F,"""You have come chasing my daughter.""",,WORD_ALIGNED
a37,Tiwa owini ati nematamonaha.,tiwa	o-	awa	-ni	ati	na	-himata	-mona	-ha,2SG.O	1SG.S-	see	-BKG.F	say	AUX	-FP.N.M	-REP.M	-DUP,"""I see you.""",,WORD_ALIGNED
a38,Tikamiyahi.,ti-	ka	-ma	-yahi,2SG.S-	go	-back	-DIST.IMP.F,"""Go away.""",,WORD_ALIGNED
a39,Tikamiya fara titaboro ya ati nematamona.,ti-	ka	-ma	-yahi	fara	ti-	taboro	ya	ati	na	-himata	-mona,2SG.S-	go	-back	-DIST.IMP.F	same.F	2SG.POSS-	place	ADJU	say	AUX	-FP.N.M	-REP.M,"""Go back to your own place,"" he said.",,WORD_ALIGNED
a40,"Faya, wete tonamematamonaka.",faya	wete	to-	na	-ma	-himata	-mona	-ka,so	return	away-	AUX	-back	-FP.N.M	-REP.M	-DECL.M,So he went back.,,WORD_ALIGNED
a41,Tokomake tokomare tokomarematamonaka.,to-	ka	-make	to-	ka	-ma	-re	to-	ka	-ma	-ra	-himata	-mona	-ka,away-	go	-following	away-	go	-back	-NEG.M	away-	go	-back	-NEG	-FP.N.M	-REP.M	-DECL.M,He didn't go back.,,WORD_ALIGNED
a42,"Wete toname, tokome totikosawamakematamonaka.",wete	to-	na	-me	to-	ka	-me	to-	iti	-kosa	-waha	-make	-himata	-mona	-ka,return	away-	AUX	-back.M	away-	go	-back.M	away-	go_around	-middle	-change	-following	-FP.N.M	-REP.M	-DECL.M,"He went back, but he came around.",,WORD_ALIGNED
a43,Tofotowamaki tokomakewematamonane.,to-	foto	-waha	-maki	to-	ka	-maki	-waha	-himata	-mona	-ne,away-	appear	-change	-following.M	away-	go	-following	-change	-FP.N.M	-REP.M	-BKG.M,He came out again and went there.,,WORD_ALIGNED
a44,"Tofotowamaki ka, bai toke ya yama me matehe me me kiyoha, matehe me me kiyohemetemoneke.",to-	foto	-waha	-maki	ka	bahi	to-	ke	ya	yama	me	matehe	me	me	kiyoha	matehe	me	me	kiyo	-hemete	-mone	-ke,away-	appear	-change	-following.M	of	sun(M)	away-	go.NOM.M	ADJU	thing(F)	3PL	children(F)	3PL.O	3PL.S	chase.F	children(F)	3PL.O	3PL.S	chase	-FP.N.F	-REP.F	-DECL.F,He came out again. In the late afternoon they chased the children.,,WORD_ALIGNED
a45,Siraba bati hiwahi hikahabanarehimata awane?,Siraba	bati	hi-	awahi	hi-	ka-	habana	-ra	-himata	awa	-ne,Siraba(F)	3SG.POSS.father(M)	OC-	see.M	OC-	COMIT-	order_someone_against	-NEG	-FP.N.M	seem.M	-BKG.M,"When Siraba's father saw him, didn't he send [his familiar spirit] against him?",,WORD_ALIGNED
a46,"Hikabanaremata awaka fare, hiwa kaiyarabise hiwa awe ya.",hi-	ka-	habana	-ra	-himata	awa	-ka	fare	hiwa	ka-	hiyara	-bise	hiwa	awe	ya,OC-	COMIT-	order_someone_against	-NEG	-FP.N.M	seem.M	-DECL.M	same.M	3SG.REFL.M	COMIT-	speak	-also.M	3SG.REFL.M	see.NOM.M	ADJU,"Apparently he didn't send [his familiar spirit] against him, even though he was a powerful shaman.",,WORD_ALIGNED
a47,"Faya tokomake, mera noki ne, me haha ni me haha ni saiha me me abe kiyoa mati.",faya	to-	ka	-make	mera	noki	ne	me	haahaa	ni	me	haahaa	ni	saiha	me	me	abe	kiyoha	mati,so	away-	go	-following	3PL.O	wait_for	AUX.M	3PL.S	laugh	AUX.NFIN	3PL.S	laugh	AUX.NFIN	be_heard.F	3PL.S	3PL.POSS	RECIP	chase.F	3PL.POSS,He went there and waited for them. Their laughing could be heard as they chased each other.,,WORD_ALIGNED
a48,"Me me kiyoa me, nakiri ya fara me fami me famemetemoneni.",me	me	kiyoha	me	nakiri	ya	fara	me	fami	me	fama	-hemete	-mone	-ni,3PL.O	3PL.S	chase.F	3PL.S	3SG.POSS.brother's_wife(F)	ADJU	same.F	3PL.S	be_two.NFIN	3PL.S	be_two	-FP.N.F	-REP.F	-BKG.F,They were chasing them. She was always with her cousin.,,WORD_ALIGNED
a49,"Mera kiyoa kana ni tokomake mera moto kawamemetemoneke, yobe wahi bari ya.",mera	kiyoha	kana	ni	to-	ka	-make	mera	moto	ka-	-waha	-ma	-hemete	-mone	-ke	yobe	waahi	bari	ya,3PL.O	chase.F	run	AUX.NFIN	away-	go	-following	3PL.O	loop	COMIT-	-change	-back	-FP.N.F	-REP.F	-DECL.F	house(M)	stand.M	back	ADJU,She was chasing them. She ran after them. She chased them behind the longhouse.,,WORD_ALIGNED
a50,Yobe toro ya me winemetemoneni.,yobe	toro	ya	me	wina	-hemete	-mone	-ni,house(M)	inside.M	ADJU	3PL.S	lie_in_hammock	-FP.N.F	-REP.F	-BKG.F,They were in their hammocks inside the longhouse.,,WORD_ALIGNED
a51,"Mera moto kawama, wara nawebano wematamonane, me ka owamonaha, fara fe fami ka anotimonaha.",mera	moto	ka-	-waha	-ma	wara	na	-waha	-hiba	-no	waa	-himata	-mona	-ne	me	ka	owa	-mona	-ha	fara	fee	fami	ka	anoti	-mona	-ha,3PL.O	loop	COMIT-	-change	-back.F	grab	AUX	-change	-FUT.M	-IP.N.M	stand	-FP.N.M	-REP.M	-BKG.M	3PL	of	man(M)	-REP.M	-DUP	same.F	3SG	be_with.NOM.F	which	3SG.POSS_older_brother(M)	-REP.M	-DUP,"She chased them around. He was standing there, and grabbed her. She thought he was one of their men, her companion's older brother.",,WORD_ALIGNED
a52,Fito hikanemata awaka.,fito	hi-	ka-	na	-himata	awa	-ka,rush	OC-	COMIT-	AUX	-FP.N.M	seem.M	-DECL.M,She ran to him.,,WORD_ALIGNED
a53,"Makoni fe wara tomisa namata, me ka owamonaha.",makoni	fee	wara	to-	-misa	na	-mata	me	ka	owa	-mona	-ha,for this reason	3SG.O	grab	away-	-up.LIST	AUX.NOM.M	-FP.N.M	3PL	of	man(M)	-REP.M	-DUP,"So he grabbed her, since she thought he was one of their men.",,WORD_ALIGNED
a54,"Faya, Hibake ama tiriya; ati nemetemoneke.",faya	hibake	ama	ti-	ri	-ya	ati	na	-hemete	-mone	-ke,so	who.M	be	2SG.S-	CQ.F	-now	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""Who are you?"" she said.",,WORD_ALIGNED
a55,Ino himitematamona.,ino	hi-	mita	-himata	-mona,name.M	OC-	hear	-FP.N.M	-REP.M,She heard his name.,,WORD_ALIGNED
a56,Ino owato okara.,ino	o-	wato	o-	ka	-ra,name.M	1SG.S-	know	1SG.S-	DECL.M	-NEG.M,I don't know his name.,,WORD_ALIGNED
a57,Faya nakiri kana ni kamakiemetemoneni.,faya	nakiri	kana	ni	ka	-maki	-hemete	-mone	-ni,so	3SG.POSS.brother's_wife(F)	run	AUX.NFIN	come	-following	-FP.N.F	-REP.F	-BKG.F,Then her cousin came running.,,WORD_ALIGNED
a58,"Kana ni kamakia, Hibake te fama; ati nemetemonehe.",kana	ni	ka	-makia	hibake	tee	fama	ati	na	-hemete	-mone	-he,run	AUX.NFIN	come	-following.F	who.M	2PL.S	be_two.F	say	AUX	-FP.N.F	-REP.F	-DUP,"She came running. ""Who are you with?"" she said.",,WORD_ALIGNED
a59,Fe okoyo amane; ati nemetemoneke.,fee	okoyo	ama	-ne	ati	na	-hemete	-mone	-ke,3SG	my_older_brother(M)	be	-BKG.M	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""Is that my brother?"" she said.",,WORD_ALIGNED
a60,Ayo awane ati nemetemonehe.,ayo	awa	-ne	ati	na	-hemete	-mone	-he,2SG.POSS.older brother(M)	seem.M	-BKG.M	say	AUX	-FP.N.F	-REP.F	-DUP,"""I think it is your brother,"" she said.",,WORD_ALIGNED
a61,Ayo afa ama tini; ati nemetemoneke.,ayo	afa	ama	ti-	ni	ati	na	-hemete	-mone	-ke,older_brother(M)	this.F	be	2SG.S-	BKG.F	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""Brother, is that you?"" she said.",,WORD_ALIGNED
a62,Fe ama oni ati ne Fe ama oni.,fee	ama	o-	ni	ati	ne	fee	ama	o-	ni,3SG	be	1SG.S-	BKG.F	say	AUX.M	3SG	be	1SG.S-	BKG.F,"""It is me,"" he said.",,WORD_ALIGNED
a63,Ati yana ni hihiya nemata awaka.,ati	yana	ni	hi-	hiya	na	-himata	awa	-ka,voice	start	AUX.NFIN	DUP-	be_different	AUX	-FP.N.M	seem.M	-DECL.M,I guess he had a different voice.,,WORD_ALIGNED
a64,Fe ama oni.,fee	ama	o-	ni,3SG	be	1SG.S-	BKG.F,"""It is me.""",,WORD_ALIGNED
a65,"Okoyo ama tira, okoyo tiwa tinihine tini ati nemetemonehe.",o-	ka	ayo	ama	ti-	ra	okoyo	tiwa	ti-	niha-	-ne	ti-	ni	ati	na	-hemete	-mone	-he,1SG.POSS-	POSS	older_brother(M)	be	2SG.S-	NEG.F	my_older_brother(M)	2SG.O	2SG.S-	CAUS-	-CONT.F	2SG.S-	BKG.F	say	AUX	-FP.N.F	-REP.F	-DUP,"""You aren't my brother, you are just making yourself out to be my brother.""",,WORD_ALIGNED
a66,Okoyo wine wine wine awane.,okoyo	wine	wine	wine	awa	-ne,my_older_brother(M)	lie_in_hammock.M	lie_in_hammock.M	lie_in_hammock.M	seem.M	-BKG.M,"""My brother is in his hammock.""",,WORD_ALIGNED
a67,"Ba, okoyo totowama omatibeya.",hiba	okoyo	to-	to-	awa	-ma	o-	-mata	-be	-ya,wait	my_older_brother(M)	DUP-	away-	see	-back	1SG.S-	-short_time	-IMMED.F	-now,"""Wait, I will go take a look at my brother.""",,WORD_ALIGNED
a68,Te yoyoro namatahi ati nemetemoneke.,tee	yo-	yoro	na	-mata	-hi	ati	na	-hemete	-mone	-ke,2PL.S	DUP-	stand	AUX	-short_time	-IMP.F	say	AUX	-FP.N.F	-REP.F	-DECL.F,"""You two stay here.""",,WORD_ALIGNED
a69,Faya kana ni tokoma tokiyomamemetemonehe.,faya	kana	ni	to-	ka	-ma	to-	ka	-yoma	-ma	-hemete	-mone	-he,so	run	AUX.NFIN	away-	go	-back.F	away-	go	-through	-back	-FP.N.F	-REP.F	-DUP,She went running home and went inside.,,WORD_ALIGNED
a70,Faya Siraba fawa kanematamonaka fahi.,faya	Siraba	fawa	ka-	na	-himata	-mona	-ka	fahi,so	Siraba(F)	disappear	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M	then,Then he disappeared with Siraba.,,WORD_ALIGNED
a71,"Siraba fawa kane, ni ya kamemetemonehe, mati aate naro.",Siraba	fawa	ka-	ne	ni	ya	ka	-ma	-hemete	-mone	-he	mati	a-	ate	na	-haaro,Siraba(F)	disappear	COMIT-	AUX.M	to	ADJU	come	-back	-FP.N.F	-REP.F	-DUP	3SG.POSS.mother(F)	DUP-	ask	AUX	-IP.E.F,"As he was disappearing with Siraba, she came home and asked her mother.",,WORD_ALIGNED
a72,Ami ati nemetemone.,ami	ati	na	-hemete	-mone,mother(F)	say	AUX	-FP.N.F	-REP.F,"""Mother,"" she said.",,WORD_ALIGNED
a73,Ami okoyo wine awane?,ami	okoyo	wine	awa	-ne,mother(F)	my_older_brother(M)	lie_in_hammock.M	seem.M	-BKG.M,"""Mother, is my older brother in his hammock?""",,WORD_ALIGNED
a74,Okatao wine ati nemetemonehe.,okatao	wine	ati	na	-hemete	-mone	-he,my_son(M)	lie_in_hammock.M	say	AUX	-FP.N.F	-REP.F	-DUP,"""My son is in his hammock,"" she said.",,WORD_ALIGNED
a75,Inamati Siraba tama ne ware ahi.,inamati	Siraba	tama	ne	waa	-hare	ahi,spirit(M)	Siraba(F)	hold_onto	AUX.M	stand	-IP.E.M	there,"""There is a spirit holding onto Siraba there on the plaza.""",,WORD_ALIGNED
a76,Owamamatabaya ati nemetemone.,o-	awa	-ma	-mata	-ba	-ya	ati	na	-hemete	-mone,1SG.S-	see	-back	-short_time	-IMMED.M	-now	say	AUX	-FP.N.F	-REP.F,"""I'm going back to see her,"" she said.",,WORD_ALIGNED
a77,"Faya kana ni kama kiyomama, fara me yoro ni ya tokomemetemone.",faya	kana	ni	ka	-ma	ka	-yoma	-ma	fara	me	yoro	ni	ya	to-	ka	-ma	-hemete	-mone,so	run	AUX.NFIN	come	-back.F	come	-through	-back.F	same.F	3PL.S	stand	AUX.NOM.F	ADJU	away-	go	-back	-FP.N.F	-REP.F,So she came back running. She came out of the longhouse and went to where the two of them had been standing.,,WORD_ALIGNED
a78,Tokoma yama honaremetemone ama mera kowa nawarebanihi.,to-	ka	-ma	yama	hona	-ra	-hemete	-mone	ama	mera	kowa	na	-wahare	-haba	-ni	-hi,away-	go	-back.F	thing(F)	have_something	-NEG	-FP.N.F	-REP.F	SEC	3PL.O	whistle_to	AUX	-all_over	-FUT.F	-IP.N.F	-DUP,"She went there, but there was no one there. She whistled for them all over.",,WORD_ALIGNED
a79,Boni ati sai nawaremetemone mera siba naro.,boni	ati	sai	na	-wahare	-hemete	-mone	mera	siba	na	-haaro,upper_lip.F	voice	be_heard	AUX	-all_over	-FP.N.F	-REP.F	3PL.O	look_for	AUX	-IP.E.F,"She could be heard whistling all over, as she looked for them.",,WORD_ALIGNED
