ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Toto abono faneibona fatibone kanike, hinakaso biti, hinakaso ha ne hinakaso, Aso, aso, aso tikoto ota famabone onara oke.",toto	abono	fana	-hibona	fati	-bone	ka-	nike	hinakaso	biti	hinakaso	haa	ne	hinakaso	aso	aso	aso	tikoto	otaa	fama	-habone	o-	na	-hara	o-	ke,bamboo.sp(F)	spirit	be_married	-INT.M	3SG.POSS.wife(F)	-INT.F	COMIT-	ask_for.M	3SG.POSS.father's_sister(F)	3SG.POSS.son(M)	3SG.POSS.father's_sister(F)	call	AUX.M	3SG.POSS.father's_sister(F)	father's_sister(F)	father's_sister(F)	father's_sister(F)	2SG.POSS.daughter(F)	1EX.S	be_two	-INT.F	1SG.S-	say	-IP.E.F	1SG.S-	DECL.F,"The spirit of toto bamboo wanted to get married, so he asked for a wife. He called his father's sister. ""Aunt, I want to be with your daughter.""","The words hinakaso biti are a false start. | When I first published this story (Vogel 2012), I assumed that Toto Abono was a human being. But toto abono also means 'spirit of toto bamboo'. After reading the Portuguese translation of the Jamamadi version of the story in Shiratori (2018:163f), in which hado abono is 'spirit of hado bamboo', and only appears as a human being, I wondered whether this might be true for the Jarawara version as well. I asked Bibiri, and he wasn't sure, but he said toto abono does seem to be a spirit. I have made the change here, but some doubt remains: if he was hiding his true identity from people, it seems strange to me that he would be known as Toto Abono, and addressed as such, as in for example sentence (31). | The NP toto abono consists of the inalienably possessed noun abono, which has no marking for gender, and the possessor toto, which is a feminine noun. The NP, however, is masculine, as seen in the agreement throughout the text. The reason for this is that all spirits are assumed to be males, unless they are specified with the addition of the noun fana as being females, as is the case, for example with tokowisa abono fana in ""Maiko"".",WORD_ALIGNED
a2,"Otefe wawasi wawata nofara, oko fowa hiti re kawita.",o-	tefe	wawasi	wa-	wata	nofa	-ra	o-	ka	fowa	hiti	re	ka-	ita,1SG.POSS-	food	person_who_cooks	DUP-	exist	recently	-NEG.F	1SG.POSS-	POSS	manioc(M)	be_grated	NEG.M	COMIT-	sit.LIST,"""There is no one to cook my food, and my manioc is sitting in the field without being grated.""",,WORD_ALIGNED
a3,Faya bati kamematamona fahi.,faya	bati	ka	-ma	-himata	-mona	fahi,so	3SG.POSS.father(M)	come	-back	-FP.N.M	-REP.M	then,Then her father came home.,,WORD_ALIGNED
a4,"Tikoto bitimi kanike, wa fari.",tikoto	bitimi	ka-	nike	waa	faari,2SG.POSS.daughter(F)	2SG.POSS.nephew(M)	COMIT-	ask_for.M	stand.CONT.M	that_one.M,"""Your nephew asked for your daughter. He's standing there.""",,WORD_ALIGNED
a5,Okoto kanikanoho?,okoto	ka-	nika	-no	-ho,my_daughter(F)	COMIT-	ask_for.NOM.M	-IP.N.M	-DUP,"""Did he really ask for my daughter?""",,WORD_ALIGNED
a6,Okoto hiwakamahi.,okoto	hi-	ka-	ka	-ma	-hi,my_daughter(F)	OC-	COMIT-	go	-back	-IMP.F,"""Let him take my daughter.""",,WORD_ALIGNED
a7,Hiwakamahi.,hi-	ka-	ka	-ma	-hi,OC-	COMIT-	go	-back	-IMP.F,"""Let him take her.""",,WORD_ALIGNED
a8,"Faya bite ta nematamona fahi, bite kaiwarabanihi.",faya	bite	taa	na	-himata	-mona	fahi	bite	ka-	hiwa	-ra	-haba	-ni	-hi,so	3SG.POSS.daughter(F)	give	AUX	-FP.N.M	-REP.M	then	3SG.POSS.daughter(F)	COMIT-	have_children	-NEG	-FUT.F	-IP.N.F	-DUP,"So he gave away his daughter, but she didn't have any children.",,WORD_ALIGNED
a9,Faya toto abono tokomematamonane.,faya	toto	abono	to-	ka	-ma	-himata	-mona	-ne,so	bamboo.sp(F)	spirit	away-	go	-back	-FP.N.M	-REP.M	-BKG.M,So the toto spirit went home.,,WORD_ALIGNED
a10,"Tokome fare taboro ya tokome, kobo toname, kobo tonamematamonaka.",to-	ka	-me	fare	taboro	ya	to-	ka	-me	kobo	to-	na	-me	kobo	to-	na	-ma	-himata	-mona	-ka,away-	go	-back.M	same.M	place.M	ADJU	away-	go	-back.M	arrive	away-	AUX	-back.M	arrive	away-	AUX	-back	-FP.N.M	-REP.M	-DECL.M,He went home. He went to his own home. He arrived back home.,,WORD_ALIGNED
a11,Kobo toname ama.,kobo	to-	na	-me	ama,arrive	away-	AUX	-back.M	SEC,He arrived back home.,,WORD_ALIGNED
a12,"Yama, iyawa fati siremetemone fahi.",yama	iyawa	fati	sira	-hemete	-mone	fahi,thing(F)	grated_mash(F)	3SG.POSS.wife(F)	toast	-FP.N.F	-REP.F	then,His wife toasted manioc mash.,,WORD_ALIGNED
a13,"Iyawa fati sira, fatibonehe.",iyawa	fati	sira	fati	-bone	-he,grated_mash(F)	3SG.POSS.wife(F)	toast.F	3SG.POSS.wife(F)	-INT.F	-DUP,"His wife toasted manioc mash, his bride.",,WORD_ALIGNED
a14,Faya iyawa siremetemone fahi.,faya	iyawa	sira	-hemete	-mone	fahi,so	grated_mash(F)	toast	-FP.N.F	-REP.F	then,She toasted manioc mash.,,WORD_ALIGNED
a15,"Faya me tafemetemone fahi, tafamarabanihi.",faya	me	tafa	-hemete	-mone	fahi	tafa	-ma	-ra	-haba	-ni	-hi,so	3PL.S	eat	-FP.N.F	-REP.F	then	eat	-back	-NEG	-FUT.F	-IP.N.F	-DUP,"Then they ate, but she didn't eat again.",,WORD_ALIGNED
a16,"Faya me tafa me amo kana me, hitakoraremetemoneke.",faya	me	tafa	me	amo	ka-	na	me	hi-	takora	-ra	-hemete	-mone	-ke,so	3PL.S	eat.F	3PL.S	sleep	COMIT-	AUX.F	3PL.S	OC-	be_in_hammock_with	-NEG	-FP.N.F	-REP.F	-DECL.F,They ate. The two of them slept. He didn't sleep in the same hammock with her.,,WORD_ALIGNED
a17,"Hitakorara, hine ya winaha ni ya winabase, ai ni hinofaremetemoneke.",hi-	takora	-ra	hine	ya	winaha	ni	ya	wina	-base	ahi	ni	hi-	nofa	-ra	-hemete	-mone	-ke,OC-	be_in_hammock_with	-NEG.F	only	ADJU	lie_in_hammock.F	to	ADJU	lie_in_hammock	-edge.M	have_sex_with	AUX.NFIN	OC-	want	-NEG	-FP.N.F	-REP.F	-DECL.F,He didn't sleep in the same hammock with her. He just lay in the hammock beside where she was lying. He didn't want to have sex with her.,"The verb winaha is a relative clause, as seen by the fact that it occurs with ni ya (Vogel 2022b:142f). Since it occurs with no NP, it is evidence for Dixon's (2004:525) contention that relative clauses are internally headed.",WORD_ALIGNED
a18,"Ai ni hinofara, faya toto abono, Oko, oko iyawa abarake.",ahi	ni	hi-	nofa	-ra	faya	toto	abono	o-	ka	o-	ka	iyawa	ahaba	-hara	-ke,have_sex_with	AUX.NFIN	OC-	want	-NEG.F	so	bamboo.sp(F)	spirit	1SG.POSS-	POSS	1SG.POSS-	POSS	grated_mash(F)	end	-IP.E.F	-DECL.F,"He didn't want to have sex with her. ""My manioc mash is all gone.""",,WORD_ALIGNED
a19,Iyawa abarake.,iyawa	ahaba	-hara	-ke,grated_mash(F)	end	-IP.E.F	-DECL.F,"""The manioc mash is all gone.""",,WORD_ALIGNED
a20,Fowa bore tikanabone onara oke.,fowa	bore	ti-	ka-	na	-habone	o-	na	-hara	o-	ke,manioc(M)	pull_out	2SG.S-	COMIT-	AUX	-INT.F	1SG.S-	say	-IP.E.F	1SG.S-	DECL.F,"""I want you to pull up some manioc.""",,WORD_ALIGNED
a21,Fowa bore tikana fowa hiti.,fowa	bore	ti-	ka-	na	fowa	hiti,manioc(M)	pull_out	2SG.S-	COMIT-	AUX.LIST	manioc(M)	grate.LIST,"""When you have pulled up the manioc, grate the manioc, too.""",,WORD_ALIGNED
a22,Fowa hiti tinisahi.,fowa	hiti	ti-	na	-risa	-hi,manioc(M)	grate	2SG.S-	AUX	-down	-IMP.F,"""Grate the manioc.""",,WORD_ALIGNED
a23,Fowa hiti tinisa iyawa nanafi nama nabanake.,fowa	hiti	ti-	na	-risa	iyawa	na-	nafi	na	-nama	na	-habana	-ke,manioc(M)	grate	2SG.S-	AUX	-down.F	grated_mash(F)	DUP-	be_big	AUX	-SUPER	AUX	-FUT.F	-DECL.F,"""When you grate the manioc, there will be a lot of manioc mash.""",,WORD_ALIGNED
