ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Yima, yima mera wati kane, yima, yima mera wati kane, awani awa hoti ka me kaomate mera teo kane awani me awani me me teo kana awani me me warara natiemetemone, awani tosi mati.",yima	yima	mera	wati	ka-	ne	yima	yima	mera	wati	ka-	ne	awani	awa	hoti	ka	me	ka-	homa	-tee	mera	teo	ka-	ne	awani	me	awani	me	me	teo	ka-	na	awani	me	me	wara	-ra	nahati	-hemete	-mone	awani	tosi	mati,Yima(M)	Yima(M)	3PL.O	plan_against	COMIT-	AUX.M	Yima(M)	Yima(M)	3PL.O	plan_against	COMIT-	AUX.M	wasp(M)	tree(F)	hole.F	LOC	3PL.S	COMIT-	lie_on_ground	-HAB	3PL.O	hit	COMIT-	AUX.M	wasp(M)	3PL	wasp(M)	3PL.O	3PL.S	hit	COMIT-	AUX.F	wasp(M)	3PL.O	3PL.S	grab	-DUP	daytime	-FP.N.F	-REP.F	wasp(M)	wasp.sp(M)	3PL,"He was planning to go after the Yimas. He hit with a stick on the buttress roots of a tree where there were wasps in a hole. They were hitting on the tree where the wasps were, and they were grabbing the wasps with their hands, tosi wasps.",,WORD_ALIGNED
a2,"Tosi me me teo kana tosi me me warara natiha me, awani me me tonafiyoha me, awani me me tonafiyoha me, awani haha awani me bara me me tohawawitetasa awani me me mowa tasa me, awani me me nabitasemetemoneni, yima me me mowa nabone mati.",tosi	me	me	teo	ka-	na	tosi	me	me	wara	-ra	nahatiha	me	awani	me	me	to-	na-	fiyoha	me	awani	me	me	to-	na-	fiyoha	me	awani	haaha	awani	me	bara	me	me	to-	iha	-waha	-wite	-tasa	awani	me	me	mowa	tasa	me	awani	me	me	naahabiha	-tasa	-hemete	-mone	-ni	yima	me	me	mowa	na	-habone	mati,wasp.sp(M)	3PL.O	3PL.S	hit	COMIT-	AUX.F	wasp.sp(M)	3PL.O	3PL.S	grab	-DUP	daytime.F	3PL.S	wasp(M)	3PL.O	3PL.S	CH-	CAUS-	be_all_gone.F	3PL.S	wasp(M)	3PL.O	3PL.S	CH-	CAUS-	be_all_gone.F	3PL.S	wasp(M)	this.F	wasp(M)	3PL	other.F	3PL.O	3PL.S	away-	take_in_turn	-change	-out	-again.F	wasp(M)	3PL.O	3PL.S	fight	again.F	3PL.S	wasp(M)	3PL.O	3PL.S	kill	-again	-FP.N.F	-REP.F	-BKG.F	Yima(M)	3PL.O	3PL.S	fight	AUX	-INT.F	3PL.S,"They hit on the tree where the tosi wasps were. They were grabbing the tosi wasps with their hands. They ran out of wasps. Then they went looking for other wasps, and they fought against those wasps, too, and they killed them. They did this so that they could fight against the Yimas.",,WORD_ALIGNED
a3,"Yima me me mowa nabone awani me me nahabikimaha me, Yima me yima me ababana.",yima	me	me	mowa	na	-habone	awani	me	me	naahabiha	-kimaha	me	yima	me	yima	me	ahaba	-habana,Yima(M)	3PL.O	3PL.S	fight	AUX	-INT.F	wasp(M)	3PL.O	3PL.S	kill	-two.F	3PL.S	Yima(M)	3PL	Yima(M)	3PL.S	die	-FUT.F,"They killed wasps on two days, so they could fight against the Yimas. ""The Yimas will die.""",,WORD_ALIGNED
a4,Me e me e towamakemata.,me	ee	me	ee	to-	awa	-make	-mata,3PL	1IN	3PL.O	1IN.S	away-	see	-following	-short_time,"""Let's go see them.""",,WORD_ALIGNED
a5,"Me ye hone, me ye honemetemoneke fa mati.",me	yehe	hone	me	yehe	hona	-hemete	-mone	-ke	faa	mati,3PL.POSS	hand	weapon.F	3PL.POSS	hand	have_something	-FP.N.F	-REP.F	-DECL.F	that	3PL,They had weapons.,,WORD_ALIGNED
a6,Ya hona me bokori nabisemetemoneni me ye hone.,ya_hona	me	bokori	na	-bisa	-hemete	-mone	-ni	me	yehe	hone,weapon(F)	3PL.S	hold	AUX	-also	-FP.N.F	-REP.F	-BKG.F	3PL.POSS	hand	weapon.F,"They had weapons, their weapons.",,WORD_ALIGNED
a7,"Yima me me tonakamakia me, yima me me tonakamakia me, me me hikawemetemoneni, yobe wahi toro ya.",yima	me	me	to-	na-	ka	-makia	me	yima	me	me	to-	na-	ka	-makia	me	me	me	hi-	ka-	waa	-hemete	-mone	-ni	yobe	waahi	toro	ya,Yima(M)	3PL.O	3PL.S	away-	CAUS-	go	-following.F	3PL.S	Yima(M)	3PL.O	3PL.S	away-	CAUS-	go	-following.F	3PL.S	3PL.O	3PL.S	OC-	COMIT-	stand	-FP.N.F	-REP.F	-BKG.F	house(M)	stand.M	inside.M	ADJU,"They went after the Yimas. They went after the Yimas, and waited for them as they were inside the longhouse.",,WORD_ALIGNED
a8,"Yima me me hikawa me, yima watamino kiya kanematamona.",yima	me	me	hi-	ka-	waa	me	yima	watami	-hino	kiya	ka-	na	-himata	-mona,Yima(M)	3PL.O	3PL.S	OC-	COMIT-	stand.F	3PL.O	Yima(M)	dream	-IP.N.M	yell	COMIT-	AUX	-FP.N.M	-REP.M,They waited for them. A Yima cried out when he was dreaming.,,WORD_ALIGNED
a9,"Kiya kane, yima watami kiya kane, owa tafihino, fati mowa ne fati kakiyomame me kiyomamemetemoneke.",kiya	ka-	ne	yima	watami	kiya	ka-	ne	owa	tafi	-hino	fati	mowa	ne	fati	ka-	ka	-yoma	-me	me	ka	-yoma	-ma	-hemete	-mone	-ke,yell	COMIT-	AUX.M	Yima(M)	dream.M	yell	COMIT-	AUX.M	other.M	buoy up	-IP.N.M	3SG.POSS.wife(F)	shake	AUX.M	3SG.POSS.wife(F)	COMIT-	come	-through	-back.M	3PL.S	come	-through	-back	-FP.N.F	-REP.F	-DECL.F,He cried out. The Yima cried out as he was dreaming. Another man woke up. He shook his wife. He brought her outside. They came out.,,WORD_ALIGNED
a10,"Me kiyomama me, yama sokimetemoneni.",me	ka	-yoma	-ma	me	yama	soki	-mete	-mone	-ni,3PL.S	come	-through	-back.F	3PL.S	thing(F)	be_dark.NOM	-FP.N.F	-REP.F	-BKG.F,They came out. It was dark.,,WORD_ALIGNED
