ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,LGR
a1,"Okobi, okobi tokematamonaka.",okobi	okobi	to-	ka	-himata	-mona	-ka,my_father(M)	my_father(M)	away-	go	-FP.N.M	-REP.M	-DECL.M,My father went out.,,WORD_ALIGNED
a2,"Okobi toke, okobi toke noko honare kame, okobi ka taokana wemetemone.",okobi	to-	ke	okobi	to-	ke	noko	hona	-re	ka	-me	okobi	ka	taokana	waa	-hemete	-mone,my_father(M)	away-	go.M	my_father(M)	away-	go.M	eye.M	have_something	-NEG.M	come	-back.M	my_father(M)	POSS	rifle(F)	stand	-FP.N.F	-REP.F,My father went out. He didn't see any game. He came back. His rifle was setting against a tree.,,WORD_ALIGNED
a3,Yifo waifimatamonaka ahi.,yifo	waa	-fi	-himata	-mona	-ka	ahi,miriti(M)	stand	-water	-FP.N.M	-REP.M	-DECL.M	then,There was a miriti palm in the swamp.,,WORD_ALIGNED
a4,Okobi yifo tebo kanematamona ahi.,okobi	yifo	tebo	ka-	na	-himata	-mona	ahi,my_father(M)	miriti(M)	feel_in_water	COMIT-	AUX	-FP.N.M	-REP.M	then,"My father felt with his feet for miriti fruits, making them come to the surface.",,WORD_ALIGNED
a5,"Yifo okobi yabe, yifo so tonihematamonaka.",yifo	okobi	yabe	yifo	soo	to-	niha-	-himata	-mona	-ka,miriti(M)	my_father(M)	pick_up.M	miriti(M)	lie	CH-	CAUS-	-FP.N.M	-REP.M	-DECL.M,My father picked the miriti fruits up and set them on dry ground.,,WORD_ALIGNED
a6,"Yifo yabe yifo so tonihe, okobi yifo itikani nematamonaka.",yifo	yabe	yifo	soo	to-	nihe	okobi	yifo	iti	-kani	na	-himata	-mona	-ka,miriti(M)	pick_up.M	miriti(M)	lie	CH-	CAUS.M	my_father(M)	miriti(M)	pick_up	-one_at_a_time	AUX	-FP.N.M	-REP.M	-DECL.M,He picked up the miriti fruits and set them on the ground. My father was picking the miriti fruits up one at a time.,,WORD_ALIGNED
a7,Yifo ta torematamona ahi.,yifo	taa	to-	-re	-himata	-mona	ahi,miriti(M)	be_piled_up	CH-	-raised_surface	-FP.N.M	-REP.M	then,The miriti fruits were in a pile.,,WORD_ALIGNED
a8,"Yifo ta tore, yifo tebo kanematamonaka ahi.",yifo	taa	to-	-re	yifo	tebo	ka-	na	-himata	-mona	-ka	ahi,miriti(M)	be_piled_up	CH-	-raised_surface	miriti(M)	feel_in_water	COMIT-	AUX	-FP.N.M	-REP.M	-DECL.M	then,"The miriti fruits were in a pile. He was feeling them with his feet in the mud, making them come to the surface.",,WORD_ALIGNED
a9,"Iso weo ne, yifo yabe, yifo were nematamonaka.",iso	weho	ne	yifo	yabe	yifo	were	na	-himata	-mona	-ka,leg.M	wave	AUX.M	miriti(M)	pick_up.M	miriti(M)	throw	AUX	-FP.N.M	-REP.M	-DECL.M,He was waving his leg back and forth. He was picking up the miriti fruits and throwing them.,,WORD_ALIGNED
a10,Yifo were nematamona ahi.,yifo	were	na	-himata	-mona	ahi,miriti(M)	throw	AUX	-FP.N.M	-REP.M	then,He was throwing the miriti fruits.,,WORD_ALIGNED
