ID,Media_Type,Download_URL
mp301_Bahi_Yowao eaf01_Bahi_Yowao,application/eaf+xml,
mp301_Bahi_Yowao eaf01_Bahi_Yowao,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-bahi1.mp3
mp302_Bahi_Siko eaf02_Bahi_Siko,application/eaf+xml,
mp302_Bahi_Siko eaf02_Bahi_Siko,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-bahi2.mp3
mp303_The_First_Corn eaf03_The_First_Corn,application/eaf+xml,
mp303_The_First_Corn eaf03_The_First_Corn,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-firstcorn.mp3
mp304_The_Old_Man_Who_Went_Up_in_the_Sky eaf04_The_Old_Man_Who_Went_Up_in_the_Sky,application/eaf+xml,
mp304_The_Old_Man_Who_Went_Up_in_the_Sky eaf04_The_Old_Man_Who_Went_Up_in_the_Sky,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-oldmansky.mp3
mp305_The_Hungry_Old_Man eaf05_The_Hungry_Old_Man,application/eaf+xml,
mp305_The_Hungry_Old_Man eaf05_The_Hungry_Old_Man,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-hungryman.mp3
mp306-The_Man_Who_Got_Away_from_the_Kose_Mati eaf06-The_Man_Who_Got_Away_from_the_Kose_Mati,application/eaf+xml,
mp306-The_Man_Who_Got_Away_from_the_Kose_Mati eaf06-The_Man_Who_Got_Away_from_the_Kose_Mati,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-mankose.mp3
mp307_The_Alligators_Killed_the_Man eaf07_The_Alligators_Killed_the_Man,application/eaf+xml,
mp307_The_Alligators_Killed_the_Man eaf07_The_Alligators_Killed_the_Man,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-gatorman.mp3
mp308_Siraba eaf08_Siraba,application/eaf+xml,
mp308_Siraba eaf08_Siraba,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-siraba.mp3
mp309_The_Jaguars_Ate_the_Girls eaf09_The_Jaguars_Ate_the_Girls,application/eaf+xml,
mp309_The_Jaguars_Ate_the_Girls eaf09_The_Jaguars_Ate_the_Girls,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-jaggirls.mp3
mp310_The_Toto_Spirit eaf10_The_Toto_Spirit,application/eaf+xml,
mp310_The_Toto_Spirit eaf10_The_Toto_Spirit,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-totoabono.mp3
mp311_Casting_Spells_on_Each_Other eaf11_Casting_Spells_on_Each_Other,application/eaf+xml,
mp311_Casting_Spells_on_Each_Other eaf11_Casting_Spells_on_Each_Other,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-castspell.mp3
mp312_Maiko eaf12_Maiko,application/eaf+xml,
mp312_Maiko eaf12_Maiko,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-maiko2.mp3
mp313_The_Yimas eaf13_The_Yimas,application/eaf+xml,
mp313_The_Yimas eaf13_The_Yimas,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-theyimas.mp3
mp314_Mayawari eaf14_Mayawari,application/eaf+xml,
mp314_Mayawari eaf14_Mayawari,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-mayawari2.mp3
mp315_Kamabira eaf15_Kamabira,application/eaf+xml,
mp315_Kamabira eaf15_Kamabira,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-kamabira.mp3
mp316_The_Poison_Root_Song eaf16_The_Poison_Root_Song,application/eaf+xml,
mp316_The_Poison_Root_Song eaf16_The_Poison_Root_Song,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-poisonroot.mp3
mp317_My_Father_Fought_a_Cougar eaf17_My_Father_Fought_a_Cougar,application/eaf+xml,
mp317_My_Father_Fought_a_Cougar eaf17_My_Father_Fought_a_Cougar,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/siko-cougar.mp3
mp318_My_Father_and_His_Familiar_Spirit eaf18_My_Father_and_His_Familiar_Spirit,application/eaf+xml,
mp318_My_Father_and_His_Familiar_Spirit eaf18_My_Father_and_His_Familiar_Spirit,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-fatherspirit.mp3
mp319_A_Pair_of_Monsters eaf19_A_Pair_of_Monsters,application/eaf+xml,
mp319_A_Pair_of_Monsters eaf19_A_Pair_of_Monsters,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-pairmonsters.mp3
mp320_White_lipped_Peccaries_and_a_Jaguar eaf20_White_lipped_Peccaries_and_a_Jaguar,application/eaf+xml,
mp320_White_lipped_Peccaries_and_a_Jaguar eaf20_White_lipped_Peccaries_and_a_Jaguar,audio/mpeg,https://www.silbrazil.org/sites/brazil/files/yowao-peccaryjaguar.mp3
