Language_ID,Text_ID,Sentence_Number,ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Comment,OTC_ID,LGR_Conformance,Abbreviations
jama1261,01_Bahi_Yowao,1,jama1261a-01_Bahi_Yowao-a1,"Bahi, Bahiteba hiwa awematamonaka.",Bahi	Bahi-tee-ba	hiwa	awa-himata-mona-ka,Bahi(M)	Bahi(M)-HAB-FUT	3SG.REFL.M	feel-FP.N.M-REP.M-DECL.M,Bahi had his first menstruation.,,jama1261a,WORD_ALIGNED,"{""HAB"": ""habitual"", ""FUT"": ""future"", ""SG"": ""singular"", ""REFL"": ""reflexive"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,2,jama1261a-01_Bahi_Yowao-a2,"Bahi hiwa awe hohoma toematamonaka wami ya tobokorisari, noko tama nari waha.",Bahi	hiwa	awe	ho-homa	to-ha-himata-mona-ka	wami	ya	to-bako-risa-haari	noko	tama	na-haari	waha,Bahi(M)	3SG.REFL.M	feel.M	DU.P-lie_on_ground	CH-AUX-FP.N.M-REP.M-DECL.M	soil(F)	ADJU	CH-be_concave-down-IP.E.M	face.M	hold_onto	AUX-IP.E.M	now,"Bahi had his first menstruation. He lay on the ground, on his belly, holding his face with his hands.",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""REFL"": ""reflexive"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative"", ""ADJU"": ""adjunct"", ""IP"": ""immediate past""}"
jama1261,01_Bahi_Yowao,3,jama1261a-01_Bahi_Yowao-a3,Bai mera aawa toarematamonaka.,Bahi	mera	a-awa	to-ha-ra-himata-mona-ka,Bahi(M)	3PL.O	DU.P-see	CH-AUX-NEG-FP.N.M-REP.M-DECL.M,Bahi didn't look at the others.,,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""NEG"": ""negative"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,4,jama1261a-01_Bahi_Yowao-a4,"Bahi hine ya totonokowiti toematamonaka mera kakatomarari, meteba mera kanawanahari me fanawi, me fanawiteba kanawanahari.",Bahi	hine	ya	to-to-noko-witi	to-ha-himata-mona-ka	mera	ka-katoma-ra-haari	me-tee-ba	mera	kanawana-haari	me	fanawi	me	fanawi-tee-ba	kanawana-haari,Bahi(M)	only	ADJU	DU.P-away-point-out	CH-AUX-FP.N.M-REP.M-DECL.M	3PL.O	COMIT-look_at-NEG-IP.E.M	3PL-HAB-FUT	3PL.O	teach-IP.E.M	3PL	women	3PL.O	women-HAB-FUT	teach-IP.E.M,"Bahi was always turned the other way, so he wouldn't look at them. He was teaching the girls.",,jama1261a,WORD_ALIGNED,"{""ADJU"": ""adjunct"", ""DU"": ""dual"", ""CH"": ""change of state"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative"", ""PL"": ""plural"", ""COMIT"": ""comitative"", ""NEG"": ""negative"", ""IP"": ""immediate past"", ""HAB"": ""habitual"", ""FUT"": ""future""}"
jama1261,01_Bahi_Yowao,5,jama1261a-01_Bahi_Yowao-a5,"Me ha hine, me ha hine yamata wara tokarihi.",me	haa	hi-ne	me	haa	hi-ne	yamata	wara	to-ka--rihi,3PL.S	call	OC-AUX.M	3PL.S	call	OC-AUX.M	food(F)	grab	CH-COMIT--NEG.LIST,"They called him, but he didn't accept any food.",,jama1261a,WORD_ALIGNED,"{""PL"": ""plural"", ""OC"": ""O-construction marker"", ""AUX"": ""auxiliary"", ""CH"": ""change of state"", ""COMIT"": ""comitative"", ""NEG"": ""negative"", ""LIST"": ""list construction""}"
jama1261,01_Bahi_Yowao,6,jama1261a-01_Bahi_Yowao-a6,"Titefeba, otefeba tikawata.",ti-tefe-ba	o-tefe-ba	ti-ka-wata,2SG.POSS-food-FUT	1SG.POSS-food-FUT	2SG.S-COMIT-be_located,"""Leave my food on the ground.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""POSS"": ""possessor/possessor marker"", ""FUT"": ""future"", ""COMIT"": ""comitative""}"
jama1261,01_Bahi_Yowao,7,jama1261a-01_Bahi_Yowao-a7,"Yama owakitihaba awine, Bahi ati nematamonaka.",yama	o-ka-iti-haba	awine	Bahi	ati	na-himata-mona-ka,thing(F)	1SG.S-COMIT-pick_up-FUT.F	seem.F	Bahi(M)	say	AUX-FP.N.M-REP.M-DECL.M,"""I will pick it up later,"" Bahi said.",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""COMIT"": ""comitative"", ""FUT"": ""future"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""DECL"": ""declarative""}"
jama1261,01_Bahi_Yowao,8,jama1261a-01_Bahi_Yowao-a8,Yama okobaba awine.,yama	o-kaba-haba	awine,thing(F)	1SG.S-eat-FUT.F	seem.F,"""I will eat it.""",,jama1261a,WORD_ALIGNED,"{""SG"": ""singular"", ""FUT"": ""future""}"
jama1261,01_Bahi_Yowao,9,jama1261a-01_Bahi_Yowao-a9,Wami hiri ni onofari.,wami	hiri	ni	o-nofa-ri,tree.sp(F)	catch_fire	AUX.NFIN	1SG.S-want-NEG.NOM.F,"""I don't want a torch light.""",,jama1261a,WORD_ALIGNED,"{""AUX"": ""auxiliary"", ""NFIN"": ""non-finite"", ""SG"": ""singular"", ""NEG"": ""negative"", ""NOM"": ""nominative""}"
jama1261,01_Bahi_Yowao,10,jama1261a-01_Bahi_Yowao-a10,"Yama soki ya otafaba owa awine o, Bahi ati nematamonane, aati toematamonaka.",yama	soki	ya	o-tafa-haba	owa	awine	o	Bahi	ati	na-himata-mona-ne	a-ati	to-ha-himata-mona-ka,thing(F)	be_dark.NOM	ADJU	1SG.S-eat-FUT.F	1SG.S	seem.F	1SG.S	Bahi(M)	say	AUX-FP.N.M-REP.M-BKG.M	DU.P-say	CH-AUX-FP.N.M-REP.M-DECL.M,"""I will eat in the dark,"" Bahi said.",,jama1261a,WORD_ALIGNED,"{""NOM"": ""nominative"", ""ADJU"": ""adjunct"", ""SG"": ""singular"", ""FUT"": ""future"", ""AUX"": ""auxiliary"", ""FP"": ""far past"", ""REP"": ""reported"", ""BKG"": ""backgrounding"", ""DU"": ""dual"", ""CH"": ""change of state"", ""DECL"": ""declarative""}"
